Date,Description,Original Description,Category,Amount,Status
2026-01-31,"TurboTax","INTUIT *TURBOTAX         CL.INTUIT.COMCA",Taxes,52.23,Posted
2026-01-31,"Google Fi Wireless","Google FI RX64z8         650-2530000  CA",Mobile Phone,67.18,Posted
2026-01-31,"Tax Payment","US TREAS TAX PYMT        888-658-5465 TN",Taxes,236.00,Posted
2026-01-31,"Service Fee","SERVICE FEE              888-658-5465 TN",Service Fee,5.88,Posted
2026-01-30,"Amazon","Amazon.com*LB3PD5ZE3     Amzn.com/billWA",Shopping,52.27,Posted
2026-01-30,"Amazon","Amazon.com*I08WC06E3     Amzn.com/billWA",Shopping,16.52,Posted
2026-01-30,"Heart.org","AMERICAN HEART SW        HEART.ORG    TX",Gifts & Donations,10.58,Posted
2026-01-30,"H-E-B","H-E-B #698               CYPRESS      TX",Groceries,81.83,Posted
2026-01-30,"H-E-B Gas/Carwash","H-E-B GAS/CAR WASH#574   TOMBALL      TX",Gas,36.14,Posted
2026-01-29,"USAA Credit Card","USAA CREDIT CARD PAYMENT SAN ANTONIO  TX",Credit Card Payment,-1063.47,Posted
2026-01-29,"Target","TARGET        00018945   CYPRESS      TX",Shopping,5.28,Posted
2026-01-29,"Target","TARGET        00018945   CYPRESS      TX",Shopping,104.48,Posted
2026-01-28,"Walmart","WALMART.COM 8009256278   800-966-6546 AR",Shopping,24.42,Posted
2026-01-28,"H-E-B","H-E-B #574               TOMBALL      TX",Groceries,53.84,Posted
2026-01-28,"Walmart","WALMART.COM              800-925-6278 AR",Shopping,100.22,Posted
2026-01-27,"Netflix","NETFLIX.COM              NETFLIX.COM  CA",Television,8.65,Posted
2026-01-27,"Chick-fil-A","CHICK-FIL-A #04983       HOUSTON      TX",Fast Food,2.48,Posted
2026-01-26,"Amazon","AMAZON MKTPL*SM3JE5X73   Amzn.com/billWA",Shopping,46.54,Posted
2026-01-23,"Portillo's","PORTILLO'S TOMBALL #103  TOMBALL      TX",Fast Food,46.06,Posted
2026-01-23,"Portillo's","PORTILLO'S TOMBALL #103  TOMBALL      TX",Fast Food,8.85,Posted
2026-01-23,"Walmart","WAL-MART #0703           TOMBALL      TX",Shopping,63.42,Posted
2026-01-23,"Walmart","WALMART.COM              800-925-6278 AR",Shopping,35.66,Posted
2026-01-22,"Amazon","AMAZON MKTPL*KD4589T43   Amzn.com/billWA",Shopping,45.44,Posted
2026-01-22,"Murphy USA","MURPHY EXPRESS 8669      TOMBALL      TX",Gas,66.51,Posted
2026-01-21,"Costco","COSTCO WHSE #1687        TOMBALL      TX",Shopping,142.77,Posted
2026-01-21,"Sam's Club","SAMSCLUB #4721           HOUSTON      TX",Shopping,177.35,Posted
2026-01-21,"Sam's Club","SAMSCLUB #4721           HOUSTON      TX",Shopping,2.17,Posted
2026-01-20,"Mychart","HM MYCHART               877-4933228  TX",Doctor,183.89,Posted
2026-01-20,"Amazon","AMAZON MKTPL*HG2IS8L43   Amzn.com/billWA",Shopping,38.95,Posted
2026-01-20,"Chick-fil-A","CHICK-FIL-A #04983       HOUSTON      TX",Fast Food,2.48,Posted
2026-01-20,"Walmart","WALMART.COM 8009256278   BENTONVILLE  AR",Shopping,-6.17,Posted
2026-01-19,"Walmart","WALMART.COM              WALMART.COM  AR",Shopping,-1.78,Posted
2026-01-18,"Amazon","Amazon.com*ST7HW6G53     Amzn.com/billWA",Shopping,14.98,Posted
2026-01-18,"Walmart","WALMART.COM 8009256278   800-966-6546 AR",Shopping,117.61,Posted
2026-01-17,"Amazon","Amazon.com*V871771L3     Amzn.com/billWA",Shopping,10.79,Posted
2026-01-17,"H-E-B","H-E-B #574               TOMBALL      TX",Groceries,17.90,Posted
2026-01-17,"Disney+","Disney Plus              888-9057888  CA",Television,14.03,Posted
2026-01-17,"US Postal Service","USPS PO 4890450375       TOMBALL      TX",Shipping,8.80,Posted
2026-01-15,"Arrow Pest Control","PY *Arrow Pest Control of713-9432847  TX",Home Services,26.50,Posted
2026-01-15,"Arrow Pest Control","PY *Arrow Pest Control of713-9432847  TX",Home Services,13.53,Posted
2026-01-15,"H-E-B","H-E-B #656               HOUSTON      TX",Groceries,43.72,Posted
2026-01-15,"H-E-B Gas/Carwash","H-E-B GAS/CARWASH #656   HOUSTON      TX",Gas,25.82,Posted
2026-01-14,"USAA Credit Card","USAA CREDIT CARD PAYMENT SAN ANTONIO  TX",Credit Card Payment,-2984.25,Posted
