Account,Date,Description,Original Description,Category,Amount,Status
VISA,2024-11-06,"AMAZON MARK* 966L46X93","AMAZON MARK* 966L46X93",Category Pending,-35.87,Pending Refund
VISA,2024-11-06,"WALGREENS #3233","WALGREENS #3233",Category Pending,5.18,Pending
VISA,2024-11-06,"USAA CREDIT CARD PAYMENT","USAA CREDIT CARD PAYMENT",Category Pending,-1192.10,Pending
VISA,2024-11-06,"HEB ONLINE #108","HEB ONLINE #108",Category Pending,0.00,Pending
VISA,2024-11-05,"CHICK-FIL-A #04983","CHICK-FIL-A #04983",Category Pending,29.18,Pending
VISA,2024-11-05,"H-E-B #656","H-E-B #656",Category Pending,104.48,Pending
VISA,2024-11-04,"WALMART.COM","WALMART.COM",Category Pending,41.28,Pending
VISA,2024-11-04,"AMAZON MKTPLACE PMTS","AMAZON MKTPLACE PMTS",Category Pending,63.86,Pending
VISA,2024-11-04,"AMAZON MKTPLACE PMTS","AMAZON MKTPLACE PMTS",Category Pending,71.98,Pending
VISA,2024-11-02,"WALMART.COM","WALMART.COM",Category Pending,39.71,Pending
VISA,2024-11-05,"Amazon","AMAZON MKTPLACE PMTS     Amzn.com/billWA",Shopping,-64.04,Posted
VISA,2024-11-04,"Champion Energy","CHAMPION ENERGY SERVICES 281-6535090  TX",Utilities,25.31,Posted
VISA,2024-11-04,"Lowe's","LOWES #00907*            866-483-7521 NC",Home Improvement,46.85,Posted
VISA,2024-11-04,"Walmart","WM SUPERCENTER #703      281-351-2616 TX",Shopping,63.87,Posted
VISA,2024-11-04,"Walmart","WM SUPERCENTER #703      281-351-2616 TX",Shopping,45.00,Posted
VISA,2024-11-03,"Tiff's Treats","TIFF'S TREATS HOUSTON    HOUSTON      TX",Food & Dining,12.00,Posted
VISA,2024-11-03,"H-E-B","H-E-B #656               HOUSTON      TX",Groceries,23.33,Posted
VISA,2024-11-02,"Walmart","WALMART.COM              800-925-6278 AR",Shopping,77.84,Posted
VISA,2024-11-02,"H-E-B","H-E-B #574               TOMBALL      TX",Groceries,70.51,Posted
VISA,2024-11-02,"Walmart","WAL-MART #5091           CYPRESS      TX",Shopping,15.56,Posted
VISA,2024-11-01,"Amazon","AMAZON MKTPL*RR00O7WU3   Amzn.com/billWA",Shopping,8.65,Posted
VISA,2024-11-01,"Houston Northwest Church","HOUSTON NORTHWEST CHURCH 281-469-3389 TX",Gifts & Donations,285.00,Posted
VISA,2024-11-01,"Kidtastic Park","KIDTASTIC PARK           CYPRESS      TX",Entertainment,31.22,Posted
VISA,2024-11-01,"Amazon","AMAZON MKTPL*PW53L2Q93   Amzn.com/billWA",Shopping,27.99,Posted
VISA,2024-11-01,"H-E-B","H-E-B #574               TOMBALL      TX",Groceries,14.33,Posted
VISA,2024-11-01,"H-E-B","H-E-B #656               HOUSTON      TX",Groceries,107.46,Posted
VISA,2024-10-31,"USAA Credit Card","USAA CREDIT CARD PAYMENT SAN ANTONIO  TX",Credit Card Payment,-4079.10,Posted
VISA,2024-10-31,"ExxonMobil","EXXON 7-ELEVEN 38949     TOMBALL      TX",Gas,50.00,Posted
VISA,2024-10-31,"Fi Rbgkgk","GOOGLE *FI RBGKGK        g.co/helppay#CA",Entertainment,94.78,Posted
VISA,2024-10-31,"Amazon","AMAZON RETA* U522C2A73   WWW.AMAZON.COWA",Shopping,56.48,Posted
VISA,2024-10-31,"The Home Depot","THE HOME DEPOT #6512     HOUSTON      TX",Home Improvement,47.57,Posted
VISA,2024-10-31,"Starbucks","STARBUCKS 800-782-7282   800-782-7282 WA",Coffee Shops,9.85,Posted
VISA,2024-10-31,"Par Hat Creek Burger","PAR*HAT CREEK BURGER KLEISPRING       TX",Food & Dining,43.13,Posted
VISA,2024-10-31,"Harris County Toll Road Authority","HCTRA EZTAG REBILL       281-875-3279 TX",Auto & Transport,10.00,Posted
VISA,2024-10-30,"Amazon","AMAZON MKTPL*WP7CV8CO3   Amzn.com/billWA",Shopping,12.98,Posted
VISA,2024-10-30,"Amazon","AMAZON MKTPL*FW4E84HK3   Amzn.com/billWA",Shopping,6.90,Posted
VISA,2024-10-30,"Amazon","AMAZON MKTPL*F06U32XI3   Amzn.com/billWA",Shopping,27.05,Posted
VISA,2024-10-29,"Costco","COSTCO WHSE #1687        TOMBALL      TX",Shopping,282.58,Posted
